"","shrJ0571","J0571","shrJ0571.BLJ","shrJ0571.JKD","shrJ0571.MGP","shrJ0571.NUC","shrJ0571.IME","shrJ0571.SCR","Average_Cortex","Average_Ground_Tissue","SCRdomain","CORE","GT_Asymmetric_Division_CYC","Quiescent_Center_AGL42","Average_LRC_and_Epidermis_II","Epidermis_gl2","LRC_Epidermis_WER","LRC_J3411","Columella_pet111","Stele_wol","Xylem_J2501","Xylem_S4","Xylem_S18","Average_xylem","Phloem_APL","Phloem_S32","Phloem_SUC2","Average_phloem","Pericycle_S17","JO121","Average_pericycle","X"
"ATMG00660",7.6160417,3.653588026,5.241173243,5.844910595,5.597445313,3.792328853,6.077364243,6.782807636,1.215947897,2.542775686,1.950292492,0.850469328,1.682460399,3.852462823,2.697331107,4.340368257,2.065185823,1.686439239,1.049352594,2.999219752,2.924815838,5.990607438,1.780994435,3.56547257,6.900213949,22.06736681,3.084093005,10.68389125,0.860208718,1.277278654,1.070961788,NA
"ATMG00670",1.274235518,1.077704451,1.374499664,0.948471944,1.256006713,0.942265692,1.31172718,1.045667046,0.773303776,0.921783446,1.002667393,0.70580723,0.957637642,0.934276883,1.168912161,1.465005168,0.952195249,1.089536066,0.72770753,1.40249917,1.098036417,1.165965662,0.74273536,1.002245813,1.036267117,1.753045129,0.836980276,1.208764174,0.718484889,1.033571323,0.843592155,NA
"ATMG00690",1.483526834,1.174815866,1.284870776,1.23735419,1.165151592,1.43059229,1.041252871,1.621972796,1.54342883,1.75201333,1.37723682,1.098970055,1.987058561,1.91343846,1.762255796,2.157169968,1.52207101,1.607526411,1.029447116,2.03401811,1.710071162,3.763914299,2.420345044,2.631443501,2.837537696,4.748714811,1.630081155,3.072111221,1.245507483,1.16869737,1.24990039,NA
"ATMG01000",1.331219691,1.628388546,1.459409242,1.583995176,1.84493369,1.738574422,1.32754321,1.643739696,1.505439003,2.104759491,1.329995138,0.640774568,1.463508635,1.13474166,1.871236936,1.968747128,1.565370458,2.079593224,1.038756645,1.978228756,0.932423468,4.511785334,2.113621314,2.519276705,3.81230634,4.15235417,1.903174339,3.289278283,1.231721196,1.187916971,1.10956861,NA
"ATMG00580",4.829574192,4.685071016,3.220679682,10.15547859,5.748147525,7.43574057,5.491887798,12.38951912,3.396289177,6.863570074,3.81285121,1.582628687,5.574578114,5.632760432,5.454359973,8.990789691,2.204811346,5.167478882,2.632432457,6.375212654,6.411091372,12.49295485,5.30269271,8.068912979,11.79432731,33.6567103,6.160783281,17.2039403,3.322421287,2.242870902,3.465054177,NA
"ATCG01080",0.743828759,1.127603327,0.730977272,1.405507655,0.744764358,0.783696283,0.725173446,1.908298169,0.684751656,2.407485148,3.118109327,0.61651725,0.664241891,1.06944319,2.644036385,3.278625093,0.865477988,3.788006072,0.88271541,5.906176247,1.664025995,1.286478133,0.687949769,1.212817966,0.890535266,10.20506518,0.814460461,3.970020303,0.615882855,1.157524121,1.276631879,NA
"ATCG01090",6.61636969,5.194800063,7.008894768,5.742693932,9.587656776,8.21213046,9.255730597,7.851628131,3.183623435,5.725593552,3.529347576,1.833824611,4.43765305,6.874173981,3.877591591,4.649449911,3.367615326,3.615709535,3.510111925,5.251812178,3.543057074,7.273510175,1.603218231,4.139928493,7.908805925,18.04134318,6.942405144,10.96418475,4.736404831,2.958036643,4.553593837,NA
"ATCG01120",0.881313224,1.290616554,0.936308447,1.686348818,1.467733784,1.518724475,1.382416008,2.329939592,1.160770877,2.614850776,1.916273883,0.680754787,1.493506079,1.380001958,2.219682874,4.045049161,0.77367067,1.840328791,0.715294299,3.220472112,2.873880198,2.10468928,0.92630914,1.968292872,2.99503548,13.71512178,1.461221259,6.057126171,1.096523639,1.160127306,1.483374597,NA
"ATCG00065",1.142349923,1.219791098,1.425851601,1.338917547,1.319928521,1.435367766,1.648762443,1.509917872,0.47912595,0.941706514,1.001512403,0.521145544,0.689364205,0.763883771,0.967078375,1.188382537,0.497253335,1.215599254,0.490391044,1.608744326,0.986625799,0.872136766,0.636915909,0.831892825,0.742032073,2.009366693,0.639724914,1.13037456,0.515680695,0.869252919,0.671045425,NA
"ATCG01020",3.320620015,2.489449088,4.272256035,2.302225832,4.851692643,2.623984336,5.29052247,2.990377382,1.644546608,2.611291785,1.49055156,0.855989807,1.331177812,3.232084678,2.404291092,3.119832074,1.922117131,2.170924073,0.836453438,2.281003853,2.849730847,3.647203007,1.329879252,2.608937702,5.298545109,9.561408629,3.292963415,6.050972385,2.064936845,1.252518953,2.071609842,NA
"ATCG01040",2.269635072,2.263652428,2.449981653,4.514050682,2.973502849,2.728210666,3.908434051,6.108775247,3.347426878,6.530151922,4.766743294,1.279406553,1.770148604,6.474336884,4.934036979,7.864473192,1.964134545,4.973503201,1.621660176,7.420974616,5.670850443,4.787178348,2.953867989,4.47063226,8.587228641,27.95738856,8.506917095,15.0171781,4.285234463,1.973779735,3.974034684,NA
"ATCG01050",0.665048007,1.076590139,0.77044831,1.243570025,1.311835851,1.342289796,1.183702426,1.674888185,1.001630279,2.552922807,2.836081461,0.628766224,1.129187334,2.889109527,2.925583634,3.741098252,1.754244021,3.28140863,1.289276585,4.779311424,1.635531445,2.338304067,0.857490543,1.610442018,1.588392791,10.63379114,1.545939364,4.589374431,1.521630432,1.353416842,1.775768974,NA
"ATCG00570",1.70443452,1.114581482,1.756340725,1.548843473,1.754311956,1.457112189,1.548239391,2.171401599,2.868725766,4.059434394,2.584087739,1.026411318,1.304459149,2.750559748,2.404790114,2.561130742,1.883676473,2.769563128,1.711350818,4.131905497,1.401022847,2.922617421,1.009748709,1.777796326,3.259378958,10.38513393,5.04240147,6.228971453,4.296945215,1.375070135,2.686382955,NA
"ATCG00630",1.037485254,1.297385596,1.947532737,1.312282948,1.657901167,1.508050203,2.273347266,2.142205611,0.705996462,2.929495854,2.680024074,0.604356781,1.514404848,1.545575181,3.065582517,5.101680272,1.112518621,2.982548658,0.604705785,4.046536075,0.99092347,1.595981556,0.774021207,1.120308744,1.628641241,12.96283829,1.162854885,5.251444804,0.84829135,0.772181184,0.965430883,NA
"ATCG00640",1.276455222,1.499922125,2.047773455,1.684276528,1.968260516,1.920855125,2.99213097,2.749698644,1.218365765,2.265802155,1.732204375,0.860649893,0.939874677,2.00945321,1.912466729,2.69633467,0.937068491,2.103997027,0.667964261,3.013644935,1.422022619,1.675796784,0.965164453,1.354327952,1.633033536,6.479943719,1.648553103,3.253843453,1.781986522,1.104034083,1.501478946,NA
"ATCG00650",0.856733221,1.267759584,1.297195916,1.031139525,1.410185822,1.288506148,1.733228857,1.583115269,0.935212207,1.333938231,0.94992382,0.691325652,1.101092646,1.7362991,1.169166771,1.670761803,0.89140787,0.945330641,0.569474959,1.21482788,1.263090534,1.062148862,0.539424546,0.95488798,1.326021661,3.654673877,1.200382092,2.06035921,0.952533878,0.755017663,0.970825598,NA
"ATCG00660",0.765603778,1.301757264,0.859742981,2.006730285,2.214548753,2.408670444,2.649078172,2.153423093,1.076723746,3.856968833,2.103028978,0.640450457,2.216736565,1.839621497,1.898018021,3.064982116,0.73971159,1.889360358,0.787376815,3.375855103,1.870240188,5.544924763,1.313002904,2.909389285,3.997568539,24.7064194,1.717692839,10.14056026,1.188242328,0.950725396,1.253024251,NA
"ATCG00670",14.8353907,14.94602352,19.56853353,13.64565756,22.54463825,18.3755638,18.47000418,18.49681592,7.34367996,14.16718571,10.14183824,4.790243938,13.06508537,18.56857496,11.57373011,13.45639609,5.846460248,15.418334,7.797225371,18.36019664,17.64761203,24.20934525,12.53772032,18.1315592,23.70851243,46.41496922,14.41906416,28.1808486,11.92915137,14.38034726,13.6125677,NA
"ATCG00720",3.75802543,3.194037962,7.473156058,4.593475671,7.348866151,5.472448622,10.22211687,7.497436447,7.01534845,10.19890948,5.230473725,2.626220331,3.749684214,8.488351597,6.039756538,5.711292417,6.297432301,6.110544897,2.814161955,5.901413985,2.171470314,8.292112456,2.911301323,4.458294698,9.042344695,16.3394747,9.902632567,11.76148399,10.16693878,3.297235438,6.841102674,NA
"ATCG00740",8.992233159,6.724690592,8.24318506,8.958490344,11.56564059,7.800850366,10.3425786,11.84207436,7.112382177,8.073347705,4.034716852,4.671630134,11.06769089,14.45967324,2.56207718,2.948487521,2.923433273,1.814310747,7.184788554,3.161294135,10.70323603,16.1429128,6.677985507,11.17471145,17.09802148,31.00245839,12.51642922,20.20563636,8.24713707,9.928920704,9.513868458,NA
"ATCG00750",6.021592998,4.27814708,5.441476823,5.318826872,8.899178075,5.415101072,8.711583436,8.202412478,1.973393638,3.109409318,1.581913777,1.243967116,3.46713983,9.058620035,1.693328061,1.743193187,1.852938377,1.48385262,2.674123636,1.733308587,2.185575327,8.485350893,1.759429315,4.143451845,7.210488084,16.7865693,5.934825134,9.977294171,2.533208755,3.731698908,3.226702097,NA
"ATCG00760",2.76110909,2.358136876,2.705582051,4.029070992,3.986867484,2.339342282,3.34883735,6.156013831,0.777041596,1.641027189,1.118264126,0.650267352,1.357835944,2.021301816,1.335131542,1.639764345,0.957623243,1.408007038,0.943020101,1.850929412,1.628156172,2.749568891,0.788530892,1.722085318,1.970946625,12.00404872,1.360302357,5.111765902,0.801660699,1.761764676,1.288488479,NA
